winning_benchmark_name,winning_regime_name,selected_model_name,feature_name,sentiment_group
event_specific_sentiment_only,event_specific_sentiment_only,random_forest,qfd_es_filing_negative_prob,combined_sentiment_block|event_specific_sentiment
event_specific_sentiment_only,event_specific_sentiment_only,random_forest,qfd_es_filing_negative_prob_delta_prev_q,combined_sentiment_block|event_specific_sentiment
event_specific_sentiment_only,event_specific_sentiment_only,random_forest,qfd_es_filing_neutral_prob,combined_sentiment_block|event_specific_sentiment
event_specific_sentiment_only,event_specific_sentiment_only,random_forest,qfd_es_filing_positive_prob,combined_sentiment_block|event_specific_sentiment
event_specific_sentiment_only,event_specific_sentiment_only,random_forest,qfd_es_filing_positive_prob_delta_prev_q,combined_sentiment_block|event_specific_sentiment
event_specific_sentiment_only,event_specific_sentiment_only,random_forest,qfd_es_filing_sentiment_abs,combined_sentiment_block|event_specific_sentiment
event_specific_sentiment_only,event_specific_sentiment_only,random_forest,qfd_es_filing_sentiment_delta_prev_q,combined_sentiment_block|event_specific_sentiment
event_specific_sentiment_only,event_specific_sentiment_only,random_forest,qfd_es_filing_sentiment_score,combined_sentiment_block|event_specific_sentiment
event_specific_sentiment_only,event_specific_sentiment_only,random_forest,qfd_es_log_text_chunk_count,combined_sentiment_block|event_specific_sentiment
event_specific_sentiment_only,event_specific_sentiment_only,random_forest,qfd_es_negative_tone_jump,combined_sentiment_block|event_specific_sentiment
event_specific_sentiment_only,event_specific_sentiment_only,random_forest,qfd_es_sentiment_entropy,combined_sentiment_block|event_specific_sentiment
event_specific_sentiment_only,event_specific_sentiment_only,random_forest,qfd_es_sentiment_polarity_balance,combined_sentiment_block|event_specific_sentiment
event_specific_sentiment_only,event_specific_sentiment_only,random_forest,qfd_es_sentiment_uncertainty,combined_sentiment_block|event_specific_sentiment
event_specific_sentiment_only,event_specific_sentiment_only,random_forest,qfd_es_text_chunk_count,combined_sentiment_block|event_specific_sentiment
