Company Name,Exchange:Ticker,Ticker,Company Type,Primary Exchange,Secondary Listings,Geographic Locations,Market Cap USDmm Latest,Security Tickers,Primary Sector,Industry Classifications,Headquarters Country/Region,CIK,Equity Currency
Texas Instruments Incorporated,NasdaqGS:TXN,TXN,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),256829.3,NasdaqGS:TXN; SNSE:TXN; SWX:TXN; TSX:TXN; WBAG:TXN; XTRA:TII; BASE:TXND; BASE:TXN; BIT:1TXN; BMV:TXN *; BOVESPA:TEXA34; DB:TII; DB:TII0; KAS:TXN_KZ; LSE:0R2H,Information Technology,Amplifiers (Primary); Analog and Mixed Signal (Primary); Digital (Primary); Digital Signal Processors (Primary); Information Technology (Primary); Interface Circuits (Primary); Logic Devices (Primary); Microcontroller (Primary); Microprocessors (Primary); Semiconductors (Primary); Semiconductors and Semiconductor Equipment (Primary); Semiconductors and Semiconductor Equipment (Primary),United States,0000097476,US Dollar
Wells Fargo & Company,NYSE:WFC,WFC,Public Company,New York Stock Exchange (NYSE),"NYSE:WFC.PRL
Company: Wells Fargo & Company
(IQT51949026) - New York Stock Exchange (NYSE)

NYSE:WFC.PRZ
Company: Wells Fargo & Company
(IQT651283451) - New York Stock Exchange (NYSE)

NYSE:WFC.PRC
Company: Wells Fargo & Company
(IQT702278544) - New York Stock Exchange (NYSE)

NYSE:WFC.PRD
Company: Wells Fargo & Company
(IQT1674687084) - New York Stock Exchange (NYSE)",United States of America (Primary),246710.0,NYSE:WFC; NYSE:WFC.PRL; NYSE:WFC.PRZ; NYSE:WFC.PRC; NYSE:WFC.PRD; SNSE:WFC; SNSE:WFCCL; SWX:WFC; TSX:WFCS; WBAG:WFC; XTRA:NWT; BASE:WFC; BASE:WFCD; BIT:1WFC; BMV:WFC *; BOVESPA:WFCO34; BVL:WFC; DB:NWT; DB:NWT2; LSE:0R2F,Financials,Banks (Primary); Banks (Primary); Diversified Banks (Primary); Diversified Commercial Banks (Primary); Financials (Primary); Asset Management and Custody Banks; Capital Markets; Financial Services; Financial Services; Investment Banking; Investment Banking and Brokerage; Securities and Commodities Markets Services; Security Brokers and Dealers; Specialized Finance,United States,0000072971; 0000105982,US Dollar
RTX Corporation,NYSE:RTX,RTX,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),241460.3,NYSE:RTX; SNSE:RTXCL; SNSE:RTX; SWX:RTX; TSX:RTX; WBAG:RTX; XTRA:5UR; BASE:RTX; BASE:RTXD; BIT:1RTX; BMV:RTX *; BOVESPA:RYTT34; DB:5UR; DB:5UR0; LSE:0R2N,Industrials,"Aerospace and Defense (Primary); Aerospace and Defense (Primary); Aerospace and Defense Maintenance and Services (Primary); Aerospace Transportation Support Systems (Primary); Aircraft Engines and Engine Parts (Primary); Aircraft Systems, Components and Equipment (Primary); Capital Goods (Primary); Command, Control and Communication Equipment (Primary); Defense Electronics (Primary); Flight Simulators (Primary); Industrials (Primary); Infrared Sensors (Primary); Information Technology; Security Software; Software; Software and Services; Systems Software",United States,0000101829,US Dollar
KLA Corporation,NasdaqGS:KLAC,KLAC,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),237960.4,NasdaqGS:KLAC; WBAG:KLAC; XTRA:KLA; BIT:1KLAC; BMV:KLAC *; BOVESPA:K1LA34; DB:KLA; LSE:0JPO,Information Technology,"Back-End Equipment (Primary); Front-End Equipment (Primary); Information Technology (Primary); Semiconductor Manufacturing Machinery (Primary); Semiconductor Materials and Equipment (Primary); Semiconductors and Semiconductor Equipment (Primary); Semiconductors and Semiconductor Equipment (Primary); Application Software; Electronic Equipment and Instruments; Electronic Equipment, Instruments and Components; Enterprise Software; Industry Specific Software; Laboratory Analytical Instruments; Laboratory Apparatus; Measuring, Analyzing, and Controlling Instruments; Software; Software and Services; Technology Hardware and Equipment",United States,0000319201,US Dollar
Citigroup Inc.,NYSE:C,C,Public Company,New York Stock Exchange (NYSE),"NYSE:C.PRR
Company: Citigroup Inc.
(IQT1981150621) - New York Stock Exchange (NYSE)",United States of America (Primary),219186.7,NYSE:C; NYSE:C.PRR; SNSE:CCL; SNSE:C; SWX:C; TSX:CITI; WBAG:CITI; XTRA:TRVC; BASE:C; BASE:C.D; BIT:1C; BMV:C *; BOVESPA:CTGP34; BVC:CCO; BVL:C; DB:TRVC; DB:CFU; KAS:C_KZ; LSE:0R01,Financials,Banks (Primary); Banks (Primary); Diversified Banks (Primary); Diversified Commercial Banks (Primary); Financials (Primary); Asset Management and Custody Banks; Capital Markets; Financial Services; Investment Banking; Investment Banking and Brokerage; Merger and Acquisition Advisory Services; Securities and Commodities Markets Services; Security Brokers and Dealers,United States,0000831001,US Dollar
"Arista Networks, Inc.",NYSE:ANET,ANET,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),217269.7,NYSE:ANET; SET:ANET23; TSX:ANET; BIT:1ANET; BMV:ANET *; BOVESPA:A1NE34; DB:1170; DB:1171; LSE:0HHR,Information Technology,Communications Equipment (Primary); Communications Equipment (Primary); Information Technology (Primary); Networking Equipment (Primary); Routers and Switches (Primary); Technology Hardware and Equipment (Primary); Commercial and Professional Services; Commercial Repair Services; Commercial Services and Supplies; Diversified Support Services; Industrials; IT Consulting and Other Services; IT Services; Network Software; Operating System Software; Software; Software and Services; Systems Software,United States,0001596532,US Dollar
American Express Company,NYSE:AXP,AXP,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),217251.1,NYSE:AXP; SET:AXP06; SNSE:AXP; SNSE:AXPCL; SWX:AXP; TSX:AXP; WBAG:AXP; XTRA:AEC1; BASE:AXP; BASE:AXPD; BIT:1AXP; BMV:AXP *; BOVESPA:AXPB34; BVL:AXP; DB:AEC1; DB:AEC; LSE:0R3C,Financials,"Consumer Finance (Primary); Consumer Finance (Primary); Credit Card Issuing Personal Credit Institutions (Primary); Financial Services (Primary); Financials (Primary); Personal Credit Agencies (Primary); Business Credit Agencies; Business Credit Card Services; Commercial and Professional Services; Consumer Discretionary; Consumer Services; Credit Agencies; Data Processing and Outsourced Services; Financial Services; Hotels, Resorts and Cruise Lines; Hotels, Restaurants and Leisure; Industrials; Internet Merchant Services; Payments Fraud Management Services; Professional Services; Specialized Finance; Transaction and Payment Processing Services; Travel and Tourism Services",United States,0000004962,US Dollar
International Business Machines Corporation,NYSE:IBM,IBM,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),217188.7,NYSE:IBM; SET:IBM06; SNSE:IBM; SNSE:IBMCL; SWX:IBM; TSX:IBM; WBAG:IBM; XTRA:IBM; BASE:IBM; BASE:IBMD; BIT:1IBM; BMV:IBM *; BOVESPA:IBMB34; BUL:IBM; BVL:IBM; DB:IBM; DB:IBM0; KAS:IBM_KZ; MUN:IBM0,Information Technology,"Information Technology (Primary); Information Technology (IT) Consulting (Primary); IT Consulting and Other Services (Primary); IT Services (Primary); Software and Services (Primary); Application Software; Business Credit Agencies; Credit Agencies; Data Storage; Development Tools; Financial Services; Financial Services; Financials; Infrastructure Services; Internet Services and Infrastructure; Internet Software; Operating System Software; Servers; Software; Software Development; Specialized Finance; Systems Software; Technology Hardware and Equipment; Technology Hardware, Storage and Peripherals; Technology Hardware, Storage and Peripherals",United States,0000051143,US Dollar
McDonald's Corporation,NYSE:MCD,MCD,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),215046.7,NYSE:MCD; SNSE:MCDCL; SNSE:MCD; SWX:MCD; TSX:MCDS; WBAG:MCD; WSE:MCDL; XTRA:MDO; BASE:MCDD; BASE:MCD; BIT:1MCD; BMV:MCD *; BOVESPA:MCDC34; BUL:MDO; BVL:MCD; DB:MDO; DB:MDO0; DB:MDO1; LSE:0R16,Consumer Discretionary,"Consumer Discretionary (Primary); Consumer Services (Primary); Fast-Food Restaurants (Primary); Hotels, Restaurants and Leisure (Primary); Limited Service Restaurants (Primary); Restaurants (Primary); Financial Services; Financial Services; Financials; Investment Services and Holding Companies; Multi-Sector Holdings; Patent Owners and Lessors",United States,0000063908,US Dollar
"T-Mobile US, Inc.",NasdaqGS:TMUS,TMUS,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),213838.5,NasdaqGS:TMUS; SWX:TMUS; SWX:21226503; WBAG:TMUS; XTRA:TM5; BASE:TMUS; BIT:1TMUS; BMV:TMUS *; BOVESPA:T1MU34; BVL:TMUS; DB:TM5; LSE:0R2L,Communication Services,"Cellular Services (Primary); Communication Services (Primary); Mobile Data Services (Primary); Telecommunication Services (Primary); Wireless Telecommunication Services (Primary); Wireless Telecommunication Services (Primary); Alternative Carriers; Broadband Telecommunications Services; Communications Equipment Distribution; Computer and Electronics Retail; Consumer Discretionary; Consumer Discretionary Distribution and Retail; Consumer Finance; Consumer Finance; Diversified Telecommunication Services; Electronic Equipment, Instruments and Components; Financial Services; Financials; Information Technology; Insurance; Insurance; Online Specialty Retail; Other Specialty Retail; Reinsurance; Specialty Retail; Technology Distributors; Technology Hardware and Equipment",United States,0001080357; 0001283699; 0001097609,US Dollar
"PepsiCo, Inc.",NasdaqGS:PEP,PEP,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),212805.8,NasdaqGS:PEP; SET:PEP80; SNSE:PEP; SNSE:PEPCL; SWX:PEP; TSX:PEP; WBAG:PEPS; XTRA:PEP; BASE:PEP; BASE:PEPD; BIT:1PEP; BMV:PEP *; BOVESPA:PEPB34; BVL:PEP; DB:PEP; DB:PEP0; LSE:0QOS,Consumer Staples,"Beverages (Primary); Bottled Water (Primary); Consumer Staples (Primary); Drink Mixes (Primary); Food, Beverage and Tobacco (Primary); Juices (Primary); Non-Carbonated Drinks (Primary); Soda and other Carbonated Drinks (Primary); Soft Drinks and Non-alcoholic Beverages (Primary); Beverage Distribution; Coffee; Coffee And Tea; Consumer Staples Distribution and Retail; Consumer Staples Distribution and Retail; Dairy Products; Dairy Products and Eggs; Food Distributors; Food Products; Food Retail; Grain Mill Products; Online Beverage Retail; Online Food Retail; Packaged Food Mixes; Packaged Foods and Meats; Pasta; Potato and Corn Chips; Prepared and Preserved Foods; Sauces And Salad Dressings; Seasonings and Preservatives; Snack Food; Sweeteners; Syrup; Tea",United States,0000077476,US Dollar
"NextEra Energy, Inc.",NYSE:NEE,NEE,Public Company,New York Stock Exchange (NYSE),"NYSE:NEE.PRS
Company: NextEra Energy, Inc.
(IQT1885085098) - New York Stock Exchange (NYSE)

NYSE:NEE.PRT
Company: NextEra Energy, Inc.
(IQT1902104884) - New York Stock Exchange (NYSE)",United States of America (Primary),200710.4,NYSE:NEE; NYSE:NEE.PRS; NYSE:NEE.PRT; TSX:NEE; WBAG:NEE; BIT:1NEE; BMV:NEE *; BOVESPA:NEXT34; BRSE:NEE; BUL:FP3; BVL:NEE; DB:FP31; DB:FP3; LSE:0K80,Utilities,"Electric Power Distribution (Primary); Electric Power Generation By Fossil Fuels (Primary); Electric Power Generation By Nuclear Fuels (Primary); Electric Power Transmission and Control (Primary); Electric Utilities (Primary); Electric Utilities (Primary); Utilities (Primary); Utilities (Primary); Asset Management and Custody Banks; Capital Goods; Capital Markets; Commodity Contract Services; Construction and Engineering; Construction and Engineering; Electric Power By Solar Energy; Electric Power By Wind Energy; Energy; Energy; Financial Services; Financials; Heavy Construction; Independent Power and Renewable Electricity Producers; Industrials; Investment Banking and Brokerage; Natural Gas Liquids; Natural Gas Pipelines; Nonbuilding Structures Construction; Oil and Gas Exploration and Production; Oil and Gas Production; Oil and Gas Refining and Marketing; Oil and Gas Refining and Marketing; Oil and Gas Storage and Transportation; Oil, Gas and Consumable Fuels; Petroleum and Petroleum Products; Renewable Electricity; Securities and Commodities Markets Services; Water, Sewer and Pipeline Construction",United States,0000753308,US Dollar
Verizon Communications Inc.,NYSE:VZ,VZ,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),197379.6,NYSE:VZ; SNSE:VZ; SNSE:VZCL; SWX:VZ; TSX:VZ; WBAG:VZ; XTRA:BAC; BASE:VZ; BASE:VZD; BIT:1VZ; BMV:VZ *; BOVESPA:VERZ34; BUL:BAC; BVL:VZ; DB:BAC; DB:BACB; KAS:VZ_KZ; LSE:0Q1S,Communication Services,"Communication Services (Primary); Conferencing Services (Primary); Diversified Telecommunication Services (Primary); Integrated Telecommunication Services (Primary); Telecommunication Services (Primary); Video Conferencing (Primary); Alternative Carriers; Apparel, Accessories and Luxury Goods; Broadband Telecommunications Services; Cellular Services; Communications Equipment; Communications Equipment; Communications Equipment Distribution; Consumer Discretionary; Consumer Discretionary Distribution and Retail; Consumer Durables and Apparel; Digital Telecommunications Services; Electronic Equipment, Instruments and Components; Information Technology; Information Technology (IT) Consulting; Infrastructure Services; Interactive Media and Services; Interactive Media and Services; Internet Services and Infrastructure; IT Consulting and Other Services; IT Services; Jewelry, Timepieces and Gemstone Products; Media and Entertainment; Messaging Services; Mobile Data Services; Mobile Telephones; Online Services; Other Specialty Retail; Software and Services; Specialty Retail; Technology Distributors; Technology Hardware and Equipment; Technology Hardware and Equipment Distribution; Technology Hardware, Storage and Peripherals; Technology Hardware, Storage and Peripherals; Telephone and Telecommunications Equipment; Textiles, Apparel and Luxury Goods; Timepieces; Watches; Wireless Telecommunication Services; Wireless Telecommunication Services; Wireless Telephone Equipment",United States,0000732712,US Dollar
"Analog Devices, Inc.",NasdaqGS:ADI,ADI,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),197175.9,NasdaqGS:ADI; WBAG:ADI; XTRA:ANL; BASE:ADID; BASE:ADI; BIT:1ADI; BMV:ADI *; BOVESPA:A1DI34; BRSE:ANL; BVL:ADI; DB:ANL; LSE:0HFN,Information Technology,Amplifiers (Primary); Analog and Mixed Signal (Primary); Digital (Primary); Information Technology (Primary); Semiconductors (Primary); Semiconductors and Semiconductor Equipment (Primary); Semiconductors and Semiconductor Equipment (Primary); Consumer Discretionary; Consumer Discretionary Distribution and Retail; Online Specialty Retail; Other Specialty Retail; Software; Software and Services; Specialty Retail; Systems Software,United States,0000006281,US Dollar
Amgen Inc.,NasdaqGS:AMGN,AMGN,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),188145.2,NasdaqGS:AMGN; SET:AMGN06; SNSE:AMGN; SNSE:AMGNCL; SWX:AMGN; TSX:AMGN; WBAG:AMGN; XTRA:AMG; BASE:AMGN; BASE:AMGND; BIT:1AMGN; BMV:AMGN *; BOVESPA:AMGN34; BRSE:000907582; DB:AMG; DB:AMG0; LSE:0R0T,Health Care,"Biotechnology (Primary); Biotechnology (Primary); Health Care (Primary); Pharmaceuticals, Biotechnology and Life Sciences (Primary); Anti-infective Drugs; Cardiovascular Drugs; Central Nervous System Drugs; Hematologic Drugs; Oncology Drugs; Pharmaceutical Products; Pharmaceuticals; Pharmaceuticals",United States,0000318154,US Dollar
AT&T Inc.,NYSE:T,T,Public Company,New York Stock Exchange (NYSE),"NYSE:T.PRC
Company: AT&T Inc.
(IQT654661251) - New York Stock Exchange (NYSE)",United States of America (Primary),185338.7,NYSE:T; NYSE:T.PRC; SNSE:T; SNSE:TCL; SWX:T; WBAG:ATT; XTRA:SOBA; BASE:T; BASE:TD; BIT:1T; BMV:T *; BOVESPA:ATTB34; BUL:SOBA; BVL:T; DB:SOBA; KAS:T_KZ; LSE:0QZ1,Communication Services,"Communication Services (Primary); Diversified Telecommunication Services (Primary); Integrated Telecommunication Services (Primary); Telecommunication Services (Primary); Alternative Carriers; Broadband Telecommunications Services; Cellular Services; Communications Equipment Distribution; Computer and Electronics Retail; Consumer Discretionary; Consumer Discretionary Distribution and Retail; Electronic Equipment, Instruments and Components; Information Technology; Mobile Data Services; Specialty Retail; Technology Distributors; Technology Hardware and Equipment; Technology Hardware and Equipment Distribution; Virtual Private Network Services (VPN); Wireless Telecommunication Services; Wireless Telecommunication Services",United States,0000732717,US Dollar
Amphenol Corporation,NYSE:APH,APH,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),184635.9,NYSE:APH; WBAG:APH; XTRA:XPH; BIT:1APH; BMV:APH *; BOVESPA:A1PH34; DB:XPH; LSE:0HFB,Information Technology,"Antennas (Primary); Electronic Components (Primary); Electronic Components (Primary); Electronic Connectors (Primary); Electronic Equipment, Instruments and Components (Primary); Information Technology (Primary); Microelectronics (Primary); Technology Hardware and Equipment (Primary); Cable Network Equipment; Capital Goods; Communications Equipment; Communications Equipment; Electric Lighting and Wiring Equipment; Electrical Components and Equipment; Electrical Equipment; Industrials; Networking Equipment; Optical Networking Equipment; Switching and Transmission Equipment",United States,0000820313,US Dollar
The Boeing Company,NYSE:BA,BA,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),184581.0,NYSE:BA; SNSE:BA; SNSE:BACL; SWX:BA; TSX:BA; WBAG:BA; WSE:BOEG; XTRA:BCO; BASE:BA; BASE:BAD; BIT:1BA; BMV:BA *; BOVESPA:BOEI34; BUL:BCO; BVL:BA; DB:BCO; DB:BCO0; DB:BCO2; KAS:BA_KZ; LSE:0BOE,Industrials,"Aerospace and Defense (Primary); Aerospace and Defense (Primary); Aerospace and Defense Maintenance and Services (Primary); Aircraft Systems, Components and Equipment (Primary); Capital Goods (Primary); Cargo Airplanes (Primary); Commercial passenger airplanes (Primary); Defense Electronics (Primary); Guided Missiles and Components (Primary); Industrials (Primary); Military Aircraft (Primary); Passenger and Cargo Aircraft and Airplanes (Primary); Satellites (Primary); Spacecraft and Satellites (Primary)",United States,0000012927,US Dollar
The Walt Disney Company,NYSE:DIS,DIS,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),183618.0,NYSE:DIS; SET:DISNEY19; SNSE:DIS; SNSE:DISCL; SWX:DIS; TSX:DIS; WBAG:DIS; XTRA:WDP; BASE:DISN; BASE:DISND; BIT:1DIS; BMV:DIS *; BOVESPA:DISB34; BUL:WDP; BVL:DIS; DB:WDP3; DB:WDP; DB:WDP0; KAS:DIS_KZ; LSE:0QZO,Communication Services,"Animation Production (Primary); Communication Services (Primary); Entertainment (Primary); Entertainment Production Companies (Primary); Entertainment Services (Primary); Entertainment Venues (Primary); Media and Entertainment (Primary); Motion Picture and Video Production Companies (Primary); Motion Picture Distribution And Allied Services (Primary); Motion Picture Post-Production Services (Primary); Movies and Entertainment (Primary); Multimedia Streaming Services (Primary); Music Services (Primary); Online Entertainment (Primary); Radio Production Companies (Primary); Sound Recording Studios (Primary); Stage and Theater Services (Primary); Television and Video Post-Production Services (Primary); Television Production Companies (Primary); Amusement And Recreation Services; Amusement Operations, Parks and Services; Amusement Parks; Broadcasting; Cable And Other Pay Television; Cable and Other Pay Television Content and Programming; Cable and Satellite; Consumer Discretionary; Consumer Services; Financial Services; Financial Services; Financials; Golf; Hotels And Motels; Hotels, Resorts and Cruise Lines; Hotels, Restaurants and Leisure; Interactive Media and Services; Interactive Media and Services; Investment Services and Holding Companies; Leisure Facilities; Lodging; Magazine Publishing; Media; Multi-Sector Holdings; Newspaper and Magazine Publishing; Patent Owners and Lessors; Printed Media Publishing; Publishing; Resorts; Sports and Related Services; Television; Television Broadcasting Stations; Television Content and Programming",United States,0001744489,US Dollar
"The TJX Companies, Inc.",NYSE:TJX,TJX,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),175263.5,NYSE:TJX; SWX:TJX; TSX:TJX; WBAG:TJXC; XTRA:TJX; BASE:TJX; BIT:1TJX; BMV:TJX *; BOVESPA:TJXC34; DB:TJX0; DB:TJX; LSE:0LCE,Consumer Discretionary,Apparel Retail (Primary); Consumer Discretionary (Primary); Consumer Discretionary Distribution and Retail (Primary); Off-Price Apparel Stores (Primary); Online Apparel and Accessory Retail (Primary); Online Apparel Retail (Primary); Online Jewelry Retail (Primary); Specialty Retail (Primary); Broadline Retail; Broadline Retail; Consumer Staples; Consumer Staples Distribution and Retail; Consumer Staples Distribution and Retail; Food Retail; General Merchandise Stores; Homefurnishing Retail; Online Food Retail; Online Home Furnishing Retail,United States,0000814445; 0000109198,US Dollar
Thermo Fisher Scientific Inc.,NYSE:TMO,TMO,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),173435.7,NYSE:TMO; SNSE:TMO; TSX:TMO; WBAG:TMOF; XTRA:TN8; BASE:TMO; BASE:TMOD; BIT:1TMO; BMV:TMO *; BOVESPA:TMOS34; BVL:TMO; DB:TN8; DB:TN80; LSE:0R0H,Health Care,"Health Care (Primary); Life Sciences Tools and Services (Primary); Life Sciences Tools and Services (Primary); Pharmaceuticals, Biotechnology and Life Sciences (Primary); Biotechnology; Biotechnology; Biotechnology Research Equipment Manufacturers; Blood Analyzers; Electronic Equipment and Instruments; Electronic Equipment, Instruments and Components; Health Care Equipment; Health Care Equipment and Services; Health Care Equipment and Supplies; Health Care Supplies; Health Care Technology; Health Care Technology; Healthcare Industry Software; Information Technology; Laboratory Analytical Instruments; Laboratory Apparatus; Laboratory Apparatus And Furniture; Measurement, Display, And Control Of Process Variables; Measuring, Analyzing, and Controlling Instruments; Medical Device Research and Development; Medical Device Research Equipment; Medical Testing, Analyzing, and Diagnostic Equipment; Technology Hardware and Equipment; Thermostats And Environmental Controls",United States,0000097745,US Dollar
"Intuitive Surgical, Inc.",NasdaqGS:ISRG,ISRG,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),169580.3,NasdaqGS:ISRG; SET:ISRG19; SET:ISRG06; SET:ISRG01; TSX:ISRG; WBAG:ISRG; XTRA:IUI1; BASE:ISRG; BIT:1ISRG; BMV:ISRG *; BOVESPA:I1SR34; BRSE:ISRG; DB:IUI1; DB:IUI; LSE:0R29,Health Care,"Health Care (Primary); Health Care Equipment (Primary); Health Care Equipment and Services (Primary); Health Care Equipment and Supplies (Primary); Medical Testing, Analyzing, and Diagnostic Equipment (Primary); Health Care Providers and Services; Health Care Services; Health Care Technology; Health Care Technology; Healthcare Industry Software",United States,0001035267,US Dollar
"Gilead Sciences, Inc.",NasdaqGS:GILD,GILD,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),165876.9,NasdaqGS:GILD; SNSE:GILD; SNSE:GILDCL; SWX:GILD; TSX:GILD; WBAG:GILD; XTRA:GIS; BASE:GILD; BASE:GILDD; BIT:1GILD; BMV:GILD *; BOVESPA:GILD34; BVL:GILD; DB:GIS0; DB:GIS; LSE:0QYQ,Health Care,"Biotechnology (Primary); Biotechnology (Primary); Health Care (Primary); Pharmaceuticals, Biotechnology and Life Sciences (Primary); Anti-infective Drugs; Capital Markets; Cardiovascular Drugs; Financial Services; Financials; Hematologic Drugs; Oncology Drugs; Pharmaceutical Products; Pharmaceuticals; Pharmaceuticals; Protease Inhibitor and AIDS treatments",United States,0000882095,US Dollar
Abbott Laboratories,NYSE:ABT,ABT,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),161068.5,NYSE:ABT; SNSE:ABT; SNSE:ABTCL; SWX:ABT; TSX:ABT; WBAG:ABT; XTRA:ABL; BASE:ABTD; BASE:ABT; BIT:1ABT; BMV:ABT *; BOVESPA:ABTT34; BUL:ABL; BVL:ABT; DB:ABL; DB:ABL0; KAS:ABT_KZ; LSE:0Q15,Health Care,"Allergy and Diagnostic Kits (Primary); Blood Analyzers (Primary); Cardiovascular Equipment (Primary); Health Care (Primary); Health Care Equipment (Primary); Health Care Equipment and Services (Primary); Health Care Equipment and Supplies (Primary); HIV Test Kits (Primary); Medical Testing, Analyzing, and Diagnostic Equipment (Primary); Therapeutic Devices (Primary); Biotechnology; Biotechnology; Cardiovascular Drugs; Central Nervous System Drugs; Consumer Staples; Food Products; Food, Beverage and Tobacco; Gastrointestinal Drugs; Generic Pharmaceuticals; Hormones and Hormone Antagonists; Household and Personal Products; In Vivo Diagnostic Substances; Infant Food; Packaged Foods and Meats; Personal Care Products; Personal Care Products; Pharmaceutical Products; Pharmaceuticals; Pharmaceuticals; Pharmaceuticals, Biotechnology and Life Sciences; Prepared and Preserved Foods; Respiratory Drugs; Vaccines; Vitamins and Nutritional Supplements",United States,0000001800,US Dollar
Union Pacific Corporation,NYSE:UNP,UNP,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),161041.2,NYSE:UNP; SNSE:UNP; SWX:UNP; SWX:UNP; TSX:UNP; WBAG:UNPC; XTRA:UNP; BASE:UNPD; BASE:UNP; BIT:1UNP; BMV:UNP *; BOVESPA:UPAC34; DB:UNP; DB:UNP0; LSE:0R2E,Industrials,Ground Transportation (Primary); Industrials (Primary); Rail Transportation (Primary); Railroad Transportation of Freight (Primary); Transportation (Primary),United States,0000100885,US Dollar
Deere & Company,NYSE:DE,DE,Public Company,New York Stock Exchange (NYSE),-,United States of America (Primary),159890.0,NYSE:DE; SWX:DE; SWX:DE; TSX:DEER; WBAG:DEER; XTRA:DCO; BASE:DE; BASE:DED; BIT:1DE; BMV:DE *; BOVESPA:DEEC34; DB:DCO; DB:DCO0; LSE:0R2P,Industrials,"Agricultural and Farm Machinery (Primary); Agricultural Machinery and Equipment (Primary); Capital Goods (Primary); Farm Conveyors, Elevators, Stackers, and Bale Throwers (Primary); Farming Machinery and Equipment (Primary); Industrials (Primary); Machinery (Primary); Tractors (Primary); Agricultural Machinery Distribution; Automobile Manufacturers; Automobiles; Automobiles and Components; Business Credit Agencies; Commercial and Professional Services; Commercial Services and Supplies; Construction Machinery and Equipment; Construction Machinery and Heavy Transportation Equipment; Consumer Discretionary; Consumer Durables and Apparel; Credit Agencies; Dump Truck Lifting Mechanisms; Financial Services; Financial Services; Financials; Heavy Duty Trucks; Household Appliances; Household Durables; Industrial Machinery and Supplies and Components; Industrial Trucks and Trailers; Lawn and Garden Equipment; Light Truck and Sport Utility Vehicles (SUVs); Machinery Distribution; Material Handling Machinery and Equipment; Office Services and Supplies; Specialized Finance; Trading Companies and Distributors; Trading Companies and Distributors",United States,0000315189,US Dollar
The Charles Schwab Corporation,NYSE:SCHW,SCHW,Public Company,New York Stock Exchange (NYSE),"NYSE:SCHW.PRJ
Company: The Charles Schwab Corporation
(IQT708916963) - New York Stock Exchange (NYSE)",United States of America (Primary),154551.8,NYSE:SCHW; NYSE:SCHW.PRJ; TSX:SCHW; WBAG:SCHW; BASE:SCHW; BIT:1SCHW; BMV:SCHW *; BOVESPA:SCHW34; BRSE:SCHW; DB:SWG; DB:SCHW; DB:SWG0; DB:SWG1; LSE:0L3I,Financials,Capital Markets (Primary); Financial Services (Primary); Financials (Primary); Investment Banking and Brokerage (Primary); Online Security Brokers and Dealers (Primary); Online Trading Systems (Primary); Securities and Commodities Markets Services (Primary); Security Brokers and Dealers (Primary); Asset Management and Custody Banks; Banks; Banks; Commercial and Residential Mortgage Finance; Financial Services; Investment Advice; Mortgage Bankers and Loan Correspondents; Regional Banks,United States,0000316709,US Dollar
AppLovin Corporation,NasdaqGS:APP,APP,Public Company,Nasdaq Global Select (NasdaqGS),-,United States of America (Primary),152719.6,NasdaqGS:APP; SET:APPL03; TSX:APPS; BIT:1APP; BMV:APP *; BOVESPA:A1PP34; BVL:APP; DB:6RV; DB:6RV0; LSE:0ADE; MUN:6RV,Information Technology,Application Hosting Services (Primary); Application Service Providers (ASPs) (Primary); Application Software (Primary); Information Technology (Primary); Software (Primary); Software and Services (Primary); Advertising; Communication Services; Media; Media and Entertainment; Publishing,United States,0001751008,US Dollar
