,current_ratio,quick_ratio,cash_ratio,working_capital_to_total_assets,debt_to_equity,debt_to_assets,long_term_debt_ratio,operating_margin,net_margin,roa,roe,asset_turnover,revenue_growth_qoq,earnings_growth_qoq,cfo_to_net_income,accruals_ratio,liquidity_profile_score,solvency_profile_score,profitability_profile_score,growth_quality_profile_score,overall_financial_health_score,rel_return_5d,rel_return_10d,rel_return_21d,realized_vol_21d,realized_vol_63d,vol_ratio_21d_63d,beta_63d_to_sector,overnight_gap_1d,abs_return_shock_1d,drawdown_21d,return_zscore_21d,volume_ratio_20d,log_volume,abnormal_volume_flag,sec_sentiment_score,sec_positive_prob,sec_negative_prob,sec_neutral_prob,sec_sentiment_abs,sec_sentiment_change_prev,sec_positive_change_prev,sec_negative_change_prev,sec_chunk_count,sec_log_chunk_count,days_since_prior_event,days_since_prior_same_event_type,current_filing_fundamentals_available,fund_snapshot_is_current_event
current_ratio,1.0,-0.4750734684195372,0.3889866646153089,0.6443041261623719,0.030023183813359854,-0.036032732653995383,-0.18296909216887663,0.2582378689797699,0.11095821070822852,-0.20918676022258767,0.03841872841154642,-0.27873999213218165,0.2437411431570884,0.28642229895243504,-0.2070950054607036,0.2407293737055974,0.5916273910315623,0.06688492122576659,0.025746494711677788,-0.09881440022829593,0.19932908126228108,0.023781104271223447,0.011477162857656402,0.01908479650894066,-0.01839660935869535,0.02092143884965419,-0.07043243386183716,0.04047255350883213,-0.026906481491999562,-0.025985539390333007,0.02845875434992466,-0.03033464365892896,-0.06015418953539571,-0.19210489081607354,-0.09831801823088174,0.06018132696414586,0.06644937255508267,-0.07238763878136459,0.01905192885984994,-0.055419294882310094,-0.0022923361043025365,-0.023429368868568955,-0.01720704651643775,0.157500338979589,0.157500338979589,0.023846148698506663,0.14744535787097732,-0.05949218361042125,-0.05949218361042125
quick_ratio,-0.4750734684195372,1.0,-0.28279866133543397,-0.3375572943738614,0.03922923610113152,0.022162359477821972,0.06412780939536733,-0.05129943682500932,0.029672278946475217,0.13628945764305966,0.14435015200326176,0.09003099241366733,-0.30050641682095164,-0.22601393563367841,0.033189405374065395,-0.12605353868089275,-0.39889539414040975,0.05597587648848276,0.1920540406554914,0.009808779669113666,-0.013361517294321737,0.007310963851427946,0.007350214436493826,-0.03157369127848775,-0.11548009954102519,-0.10334744480670882,-0.034654083945834774,0.006183150490370306,0.01766446737804077,-0.0430479662540368,0.05272503277468967,0.012749925655118817,0.09218308153673864,0.21859221736455572,0.09365472134302363,-0.0014455908536147371,-0.06028609009331056,0.0057957504010157125,0.01545404046878982,0.008772017787133943,0.028088763016073656,0.039099882416028,-0.005780189495895146,0.016372749064106826,0.016372749064106826,-0.022427397369743928,-0.11106073466517893,0.11780295387501478,0.11780295387501478
cash_ratio,0.3889866646153089,-0.28279866133543397,1.0,0.32083473809991875,-0.04581156419592052,-0.07212886517485043,-0.1842530811504026,0.1303890550553612,0.07621765139110491,-0.1150944871780716,0.1748686744696799,-0.16581925105594308,0.27469558896872925,0.355146210372739,-0.09667768877994973,0.14253695954197204,0.7343532686072095,0.18139216733968339,0.07073646740776895,-0.019949635630260414,0.36604536073352084,-0.0022628794451675593,0.012892258845219988,0.007045254244679859,-0.13943250503471827,-0.13353843057395634,-0.037998253933454657,-0.01961562679461663,-0.0034029328361020396,-0.046711997528969346,-0.011889453060819451,-0.035593819582868384,-0.05539194105460014,-0.08309963242802457,-0.04143582570641643,0.034013251146877616,-0.07516293088158753,-0.10618849585596783,0.18036517200959482,-0.04441953497540672,-0.016904182780910895,-0.09759229067454012,-0.045369165740499054,0.09071154135721538,0.09071154135721538,0.0021039590502032386,0.18791488904023546,-0.22046449241811872,-0.22046449241811872
working_capital_to_total_assets,0.6443041261623719,-0.3375572943738614,0.32083473809991875,1.0,0.0035657404441004383,-0.10041359793398306,-0.5568122731747315,0.21259373947974997,0.07927289963532325,-0.5192533127650067,0.04084599822795845,-0.5716108391802751,0.1368168646687715,0.17732214073817443,-0.08058644590906562,0.540029912063771,0.6528464387140669,0.24597324719337557,-0.10402445870053244,-0.22103169612557924,0.17280474681539923,0.010280169351382,-0.008153868309951547,0.0040944744647363985,-0.026860240220669313,-0.03144111085724871,0.0017263422536429676,-0.034103729553357005,0.03374689886408311,0.01985414273284339,0.0109290704435597,0.016319218770139168,-0.059788128884862804,-0.1351335045794734,-0.08875365405346768,-0.004989654710921578,0.02209375487872534,-0.015407364180452309,0.015729709335716505,0.004093730786660261,0.0009507492884748823,-0.008557632030853099,-0.016681454806238245,0.11587437561683903,0.11587437561683903,-0.0032173078623359266,0.0755224171480173,-0.05214117867108267,-0.05214117867108267
debt_to_equity,0.030023183813359854,0.03922923610113152,-0.04581156419592052,0.0035657404441004383,1.0,0.4203519325429089,-0.0009327691788258202,-0.16035887426220274,-0.13157443900673513,-0.09927793874129803,-0.10571585695529145,-0.011004742032602917,-0.02993826148715264,-0.04865482590212169,0.011331777351173505,-0.00969406675719146,-0.05492652286897659,-0.409667526520764,-0.16631296493997672,0.09302723882894089,-0.2477713462622533,0.04399211248256003,0.02586370168487224,0.03374170689771196,-0.011372938094615837,-0.015795033031515783,0.009563060708034345,-0.03817560257095093,0.047415677605900465,0.06753885342482355,0.026932139392773575,0.04345592112571976,0.04934497584858555,0.0328771163643791,0.07247508508994834,0.0279386381196861,-0.004395513250192881,-0.06791538074514683,0.07776365919039098,-0.027690147277474878,0.008185149167764237,-0.007777667573899232,-0.0260679286626453,0.007811884126526522,0.007811884126526522,0.046236823911687805,0.01230536498719703,0.05062170820438583,0.05062170820438583
debt_to_assets,-0.036032732653995383,0.022162359477821972,-0.07212886517485043,-0.10041359793398306,0.4203519325429089,1.0,0.1150111380631866,-0.26738673524697854,-0.25363206021029805,-0.07112109958948451,-0.16076620529905702,0.05103758075534316,-0.026634695144991154,-0.11977178844241525,0.1807695009452497,-0.10286441788898884,-0.09331210717212972,-0.6634188644281858,-0.280889816634133,0.04911813663718107,-0.46168305035100865,0.037781333133369496,0.003652906787793249,0.00014043024732133088,0.049891951276217525,0.06213156486007541,0.01776159599511072,-0.04271448766722135,0.008815572503516056,0.02613119042072232,0.007836615564569034,0.02156589010888297,0.062197476020788026,0.006993774172796185,0.03185981065843723,0.009451732389993618,0.04842335559434043,0.0002686470928363672,-0.03829770081338426,-0.011284587702595227,-0.013298106035087348,0.0017326427687345647,0.015062761418876686,-0.0019711727412609213,-0.0019711727412609213,0.019198215023970944,-0.06731572594293703,0.0270721684748435,0.0270721684748435
long_term_debt_ratio,-0.18296909216887663,0.06412780939536733,-0.1842530811504026,-0.5568122731747315,-0.0009327691788258202,0.1150111380631866,1.0,-0.17047094842980867,-0.10238969509800236,0.4951240065391646,-0.10928991340072886,0.5548353637834695,0.011045187149167529,-0.038780180490414005,-0.026521286262134135,-0.543712716431249,-0.3107286278652571,-0.5255055596084499,0.0816918414143473,0.24727509502296013,-0.167161185011337,0.03215411423648861,-0.0069910682433120905,0.012178676183570937,0.03694656787541954,0.07209227277504353,-0.03430401606003837,0.06858629054317729,-0.013916332826337948,-0.041020051536268747,0.031143857430253743,0.038261601800620576,0.0584957740043127,0.007017413228909305,0.04619596938454683,-0.010832726032400018,-0.040784745156792375,0.010023561925516787,0.00777527710204459,0.013628577190190993,-0.021678577029225536,0.00737832601918963,0.02959422449127026,-0.05952082366760855,-0.05952082366760855,0.009380694200413958,-0.01637172212822159,0.03445482978025924,0.03445482978025924
operating_margin,0.2582378689797699,-0.05129943682500932,0.1303890550553612,0.21259373947974997,-0.16035887426220274,-0.26738673524697854,-0.17047094842980867,1.0,0.8267394253168265,-0.023212973495680075,0.11562199351188036,-0.2893394133386975,-0.12006208442685756,0.1333174713458459,-0.2422224652804367,0.15100486086894763,0.23020546536480238,0.27656494636557616,0.5613763284761746,0.011973688076897443,0.500250676585192,-0.005807986690651754,-0.014900091724359413,0.026448940564363407,-0.21816064019080728,-0.2331248694058684,-0.09647064709810316,0.016842441834040153,-0.0020924200345631525,-0.05037104777398899,0.1212202883740277,-0.08297904696250141,0.055071507870452036,0.03639434090632141,0.0363745106972358,0.012879354949071524,0.07727140831202639,0.04102753527207572,-0.05733064969868396,-0.01007706174774566,5.129465712209388e-05,-0.011696560719896247,0.00550267737751791,0.2141509543282937,0.2141509543282937,0.0333325198946301,0.03900130060468823,0.04626800502130192,0.04626800502130192
net_margin,0.11095821070822852,0.029672278946475217,0.07621765139110491,0.07927289963532325,-0.13157443900673513,-0.25363206021029805,-0.10238969509800236,0.8267394253168265,1.0,0.16188605371015966,0.28532266648391674,-0.21223712778993203,-0.1407333034932685,0.31143017790216476,-0.28285613883255467,0.14004496388555468,0.11753089578249372,0.2289596899638271,0.6857898088486042,0.10009680542729331,0.5494767631088269,-0.00620834511013924,-0.015814367670817463,0.014658501282785048,-0.19643190919742387,-0.20975971095054857,-0.08164554020667372,0.004387907000066766,0.0004945487110235143,-0.037075623106455256,0.11689049952297395,-0.027295848210416848,0.030508419205348872,0.05791018380249486,0.041715635104639034,0.041038876452497014,0.10221716370654886,0.017824797495063376,-0.050935676483164424,-0.036675752881779364,0.005446091157937702,-0.006348855204012066,0.005616290209375256,0.13098063288018155,0.13098063288018155,0.020631190761258723,0.022554721464244823,0.038910253535798696,0.038910253535798696
roa,-0.20918676022258767,0.13628945764305966,-0.1150944871780716,-0.5192533127650067,-0.09927793874129803,-0.07112109958948451,0.4951240065391646,-0.023212973495680075,0.16188605371015966,1.0,0.14747408238597218,0.8084037170792033,0.04491919489262529,0.21657694397512495,-0.023272242927137567,-0.6616181877944359,-0.23992897095274454,-0.06435653159673634,0.4587378617084194,0.38058020519215063,0.288517750896598,-0.0001036435453775079,0.005081975673704961,-0.04054617896177518,0.004412762632603231,0.024014908004566547,-0.026429085915852104,0.019163074629937955,-0.009734354308195765,-0.04928313930003487,0.006131354061562574,0.028925353232964423,0.011674872886324437,-0.030105830538301726,0.021588067961304122,0.07090280820820954,-0.012670430939344416,-0.07019025075362312,0.05873388674145899,-0.06907577293091559,-0.006718749520737695,-0.020106478537372713,0.0032508917615287156,-0.06586224442154581,-0.06586224442154581,0.03591542241910409,0.029139507102094394,0.0037846611490568016,0.0037846611490568016
